Stimuli Order File 
The order of stimuli shown
Task Type,#,Stimuli Number,Image1,Image2,Image3,Image4,Checkbox1,Checkbox2,Checkbox3,Checkbox4,StartTime
TestTask,1,1,Correct2,Correct1,Incorrect1,Incorrect2,false,false,false,false,07:38:36.121
TestTask,2,2,Correct2,Incorrect2,Incorrect1,Correct1,false,false,false,false,07:38:36.910
Task,1,43,Incorrect2,Correct1,Incorrect1,Correct2,false,false,false,false,07:38:37.856
Task,2,22,Incorrect1,Correct1,Incorrect2,Correct2,false,false,false,false,07:38:38.183
Task,3,14,Correct1,Incorrect1,Correct2,Incorrect2,false,false,false,false,07:38:38.448
Task,4,8,Incorrect2,Correct1,Correct2,Incorrect1,false,false,false,false,07:38:38.707
Task,5,39,Incorrect2,Correct2,Correct1,Incorrect1,false,false,false,false,07:38:38.895
Task,6,33,Correct2,Correct1,Incorrect1,Incorrect2,false,false,false,false,07:38:39.020
Task,7,38,Correct2,Incorrect1,Incorrect2,Correct1,false,false,false,false,07:38:39.281
Task,8,13,Incorrect1,Correct1,Correct2,Incorrect2,false,false,false,false,07:38:39.467
Task,9,6,Correct2,Incorrect2,Correct1,Incorrect1,false,false,false,false,07:38:39.584
Task,10,5,Correct2,Incorrect1,Incorrect2,Correct1,false,false,false,false,07:38:39.712
Task,11,15,Correct1,Incorrect2,Incorrect1,Correct2,false,false,false,false,07:38:39.965
Task,12,46,Correct1,Incorrect1,Incorrect2,Correct2,false,false,false,false,07:38:40.118
Task,13,27,Incorrect2,Correct2,Incorrect1,Correct1,false,false,false,false,07:38:40.230
Task,14,29,Incorrect2,Incorrect1,Correct1,Correct2,false,false,false,false,07:38:40.377
Task,15,44,Correct1,Incorrect2,Correct2,Incorrect1,false,false,false,false,07:38:40.518
Task,16,9,Incorrect1,Correct2,Incorrect2,Correct1,false,false,false,false,07:38:40.899
Task,17,12,Correct1,Correct2,Incorrect1,Incorrect2,false,false,false,false,07:38:41.006
Task,18,25,Incorrect1,Correct1,Incorrect2,Correct2,false,false,false,false,07:38:41.106
Task,19,20,Correct2,Incorrect2,Incorrect1,Correct1,false,false,false,false,07:38:41.630
Task,20,48,Incorrect2,Correct1,Correct2,Incorrect1,false,false,false,false,07:38:41.971
End time:,07:38:42.152
